Student_ID,State,Stream,Main_AI_Tool,Daily_Usage_Time,Primary_Purpose,Impact_on_Grades
STU_1001,Punjab,Management,Perplexity AI,128,Learning New Skills,No Change
STU_1002,Karnataka,Commerce,Grammarly,172,Homework Help,Significantly Improved
STU_1003,Rajasthan,Arts,ChatGPT,70,Research,Slightly Improved
STU_1004,Karnataka,Arts,Microsoft Copilot,94,Research,Slightly Improved
STU_1005,Tamil Nadu,Engineering,Grammarly,86,Coding Assistance,Significantly Improved
STU_1006,Rajasthan,Management,Perplexity AI,142,Homework Help,No Change
STU_1007,Karnataka,Commerce,Grammarly,178,Learning New Skills,Slightly Improved
STU_1008,Uttar Pradesh,Commerce,ChatGPT,59,Notes Summarization,Slightly Improved
STU_1009,Karnataka,Engineering,Grammarly,88,Notes Summarization,No Change
STU_1010,Punjab,Medical,Grammarly,75,Homework Help,Significantly Improved
STU_1011,Punjab,Commerce,Grammarly,43,Research,Slightly Improved
STU_1012,Gujarat,Arts,Google Gemini,73,Learning New Skills,Distracted
STU_1013,Delhi,Science,Microsoft Copilot,89,Homework Help,No Change
STU_1014,Rajasthan,Commerce,Perplexity AI,218,Learning New Skills,Significantly Improved
STU_1015,Delhi,Medical,ChatGPT,86,Learning New Skills,No Change
STU_1016,Delhi,Arts,ChatGPT,124,Homework Help,No Change
STU_1017,Delhi,Engineering,ChatGPT,132,Learning New Skills,Significantly Improved
STU_1018,Punjab,Arts,Google Gemini,83,Homework Help,Slightly Improved
STU_1019,Rajasthan,Engineering,ChatGPT,154,Coding Assistance,No Change
STU_1020,Rajasthan,Medical,Google Gemini,159,Homework Help,Distracted
STU_1021,Tamil Nadu,Arts,Google Gemini,240,Homework Help,Distracted
STU_1022,Karnataka,Management,Perplexity AI,125,Research,Distracted
STU_1023,Uttar Pradesh,Engineering,Quillbot,142,Exam Preparation,Significantly Improved
STU_1024,Uttar Pradesh,Commerce,Quillbot,197,Coding Assistance,Significantly Improved
STU_1025,Karnataka,Management,Grammarly,62,Research,Significantly Improved
STU_1026,Punjab,Commerce,Microsoft Copilot,51,Homework Help,Slightly Improved
STU_1027,Uttar Pradesh,Science,Quillbot,79,Homework Help,Significantly Improved
STU_1028,Gujarat,Management,Grammarly,122,Coding Assistance,Slightly Improved
STU_1029,Punjab,Commerce,Microsoft Copilot,80,Research,No Change
STU_1030,Gujarat,Arts,Quillbot,211,Research,Distracted
STU_1031,Maharashtra,Commerce,Quillbot,133,Research,Distracted
STU_1032,Rajasthan,Management,Perplexity AI,190,Exam Preparation,Distracted
STU_1033,Delhi,Management,Microsoft Copilot,134,Exam Preparation,Distracted
STU_1034,Tamil Nadu,Commerce,Microsoft Copilot,221,Research,Significantly Improved
STU_1035,Gujarat,Engineering,Microsoft Copilot,234,Learning New Skills,Slightly Improved
STU_1036,Delhi,Management,Grammarly,80,Learning New Skills,Slightly Improved
STU_1037,Rajasthan,Arts,Microsoft Copilot,214,Exam Preparation,Significantly Improved
STU_1038,Uttar Pradesh,Commerce,Microsoft Copilot,61,Coding Assistance,Distracted
